output_key,relative_path,rows,columns
result\q2\00_design\design_audit,result\q2\00_design\design_audit.csv,8,18
result\q2\01_smoke_test\battery_degradation_summary,result\q2\01_smoke_test\battery_degradation_summary.csv,40,26
result\q2\01_smoke_test\hierarchical_fold_predictions,result\q2\01_smoke_test\hierarchical_fold_predictions.csv,520,9
result\q2\01_smoke_test\scalar_fold_predictions,result\q2\01_smoke_test\scalar_fold_predictions.csv,420,10
result\q2\01_smoke_test\strategy_degradation_summary,result\q2\01_smoke_test\strategy_degradation_summary.csv,8,26
result\q2\02_model_selection\coefficient_stability,result\q2\02_model_selection\coefficient_stability.csv,380,17
result\q2\02_model_selection\hierarchical_diagnostics,result\q2\02_model_selection\hierarchical_diagnostics.csv,60,12
result\q2\02_model_selection\hierarchical_model_comparison,result\q2\02_model_selection\hierarchical_model_comparison.csv,10,6
result\q2\02_model_selection\scalar_model_comparison,result\q2\02_model_selection\scalar_model_comparison.csv,60,8
result\q2\02_model_selection\selected_model_fit,result\q2\02_model_selection\selected_model_fit.csv,2,12
result\q2\02_model_selection\selected_model_predictions,result\q2\02_model_selection\selected_model_predictions.csv,12,7
result\q2\02_model_selection\smoke_model_selection,result\q2\02_model_selection\smoke_model_selection.csv,10,14
result\q2\03_formal_validation\bootstrap_replicates,result\q2\03_formal_validation\bootstrap_replicates.csv,8000,17
result\q2\03_formal_validation\bootstrap_selection_frequency,result\q2\03_formal_validation\bootstrap_selection_frequency.csv,5,6
result\q2\03_formal_validation\bootstrap_summary,result\q2\03_formal_validation\bootstrap_summary.csv,24,9
result\q2\03_formal_validation\formal_model_decision,result\q2\03_formal_validation\formal_model_decision.csv,6,4
result\q2\03_formal_validation\permutation_distribution,result\q2\03_formal_validation\permutation_distribution.csv,720,7
result\q2\03_formal_validation\permutation_test_summary,result\q2\03_formal_validation\permutation_test_summary.csv,5,8
result\q2\03_formal_validation\runtime_checkpoints,result\q2\03_formal_validation\runtime_checkpoints.csv,21,3
result\q2\03_formal_validation\sensitivity_model_comparison,result\q2\03_formal_validation\sensitivity_model_comparison.csv,30,13
result\q2\05_merged_robustness\paper\global_strategy_permutation,result\q2\05_merged_robustness\paper\global_strategy_permutation.csv,1,10
result\q2\05_merged_robustness\paper\jh_coordinate_sensitivity,result\q2\05_merged_robustness\paper\jh_coordinate_sensitivity.csv,6,7
result\q2\05_merged_robustness\paper\matched_4p8_comparison,result\q2\05_merged_robustness\paper\matched_4p8_comparison.csv,1,10
result\q2\05_merged_robustness\paper\strategy_late_rate,result\q2\05_merged_robustness\paper\strategy_late_rate.csv,9,13
result\q2\05_merged_robustness\raw\battery_late_rate,result\q2\05_merged_robustness\raw\battery_late_rate.csv,40,9
result\q2\05_merged_robustness\raw\runtime_metadata,result\q2\05_merged_robustness\raw\runtime_metadata.csv,8,2
